epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,914.413,0.71522,1.46445,1.24389,0.87909,0.86944,0.88282,0.64961,1.03389,2.69527,1.28193,0.00077428,0.00077428,0.00077428
116,922.139,0.69925,1.46535,1.18824,0.8641,0.85029,0.82775,0.61688,0.99394,2.87832,1.26556,0.0007723,0.0007723,0.0007723
117,930.037,0.67493,1.42948,1.17278,0.82387,0.86395,0.84929,0.62235,0.99773,2.6659,1.27663,0.00077032,0.00077032,0.00077032
118,937.828,0.65767,1.39192,1.14872,0.91597,0.86944,0.89471,0.6618,0.98983,2.42719,1.25984,0.00076834,0.00076834,0.00076834
119,945.772,0.65869,1.36101,1.1387,0.89431,0.92222,0.92878,0.69447,0.98286,2.20965,1.24158,0.00076636,0.00076636,0.00076636
120,953.491,0.67844,1.51867,1.14697,0.87014,0.90532,0.92706,0.72166,0.9384,2.18989,1.19647,0.00076438,0.00076438,0.00076438
121,961.222,0.67848,1.42887,1.17692,0.854,0.92222,0.90345,0.68407,0.95636,2.08423,1.21848,0.0007624,0.0007624,0.0007624
122,968.964,0.70127,1.44229,1.16079,0.85545,0.92222,0.91247,0.68494,0.98404,2.02172,1.25531,0.00076042,0.00076042,0.00076042
123,976.674,0.68984,1.38123,1.16957,0.86474,0.92222,0.94325,0.68685,1.00973,2.25008,1.2559,0.00075844,0.00075844,0.00075844
124,984.509,0.70173,1.43316,1.19757,0.86106,0.89722,0.92113,0.67187,0.9949,2.45976,1.20145,0.00075646,0.00075646,0.00075646
125,992.44,0.65866,1.45209,1.14557,0.88094,0.93029,0.93923,0.69017,1.00715,2.46155,1.20753,0.00075448,0.00075448,0.00075448
126,1000.32,0.67591,1.42638,1.18748,0.88125,0.9266,0.9552,0.71886,0.95391,2.19692,1.20095,0.0007525,0.0007525,0.0007525
127,1008.28,0.67941,1.46051,1.13831,0.90846,0.91669,0.95538,0.71953,0.94647,2.20193,1.22877,0.00075052,0.00075052,0.00075052
128,1016.22,0.72537,1.58548,1.19674,0.90947,0.92444,0.94437,0.70884,0.99296,2.21681,1.31004,0.00074854,0.00074854,0.00074854
129,1024.04,0.73039,1.50134,1.2,0.89621,0.91835,0.93174,0.69124,1.01851,2.41227,1.29352,0.00074656,0.00074656,0.00074656
130,1031.93,0.68037,1.42492,1.18156,0.86735,0.91406,0.92312,0.67637,1.07448,2.39578,1.34171,0.00074458,0.00074458,0.00074458
131,1039.83,0.67865,1.44213,1.17115,0.84599,0.92222,0.91497,0.64961,1.06741,2.42345,1.30827,0.0007426,0.0007426,0.0007426
132,1047.79,0.62971,1.34391,1.14317,0.84755,0.89154,0.91854,0.66305,1.09751,2.49188,1.31974,0.00074062,0.00074062,0.00074062
133,1055.76,0.68074,1.42129,1.16394,0.86886,0.87222,0.93154,0.65843,1.06357,2.21824,1.33336,0.00073864,0.00073864,0.00073864
134,1063.69,0.65881,1.37854,1.14696,0.89213,0.90289,0.93764,0.68732,0.99368,2.19714,1.23549,0.00073666,0.00073666,0.00073666
135,1071.69,0.65903,1.34214,1.18076,0.88043,0.87658,0.9359,0.70228,0.96656,2.38078,1.20917,0.00073468,0.00073468,0.00073468
136,1079.86,0.66966,1.38974,1.1608,0.87968,0.90437,0.93229,0.71184,0.93967,2.46476,1.18292,0.0007327,0.0007327,0.0007327
137,1087.76,0.64995,1.35223,1.15771,0.83552,0.92222,0.88682,0.64658,0.99464,2.60115,1.22924,0.00073072,0.00073072,0.00073072
138,1095.77,0.66039,1.36378,1.13236,0.83959,0.92222,0.88711,0.6454,1.04969,2.4525,1.25929,0.00072874,0.00072874,0.00072874
139,1103.76,0.66985,1.37056,1.15372,0.86005,0.92222,0.91208,0.67482,1.0386,2.20504,1.29691,0.00072676,0.00072676,0.00072676
140,1111.74,0.66983,1.37591,1.16955,0.86733,0.90425,0.94287,0.71821,0.98268,2.15727,1.24579,0.00072478,0.00072478,0.00072478
